title,sub_title,skills
Computer and Information Research Scientists,Analytical or scientific software,Minitab SAS StataCorp Stata The MathWorks MATLAB Minitab SAS StataCorp Stata The MathWorks MATLAB GitHub IBM Cognos Impromptu MicroStrategy Oracle Business Intelligence Enterprise Edition Qlik Tech QlikView Clustermatic Parallel systems software IBM Domino Greenhills Ada compilers Low-level virtual machine LLVM compilers Polaris parallelizing compilers Computer aided design and drafting CADD software PTC Creo Parametric IBM Rational Apex Perforce Software Configuration Management System Apache Hadoop MongoDB NoSQL Teradata Database Apache Hive AWS Redshift Data entry software Structured query language SQL Google Analytics C Eclipse IDE Microsoft Visual Basic Verilog Extensible markup language XML IBM InfoSphere DataStage SAP Business Objects Splunk Enterprise Git Waikato Environment for Knowledge Analysis Weka Graphics pipelines Open Graphics Library OpenGL Three-dimensional 3D graphics software ESRI ArcGIS software CA Erwin Data Modeler Microsoft ActiveX Oracle Java Python Scala PostgreSQL Microsoft Office Linux Shell script Ubuntu UNIX Apache HTTP Server Microsoft PowerPoint Microsoft Project Unified modeling language UML Google AdWords Microsoft Excel Video editing software Plug-in file software Django Extensible stylesheet language transformations XSLT JavaScript PHP: Hypertext Preprocessor
Computer and Information Research Scientists,Application server software,GitHub Minitab SAS StataCorp Stata The MathWorks MATLAB GitHub IBM Cognos Impromptu MicroStrategy Oracle Business Intelligence Enterprise Edition Qlik Tech QlikView Clustermatic Parallel systems software IBM Domino Greenhills Ada compilers Low-level virtual machine LLVM compilers Polaris parallelizing compilers Computer aided design and drafting CADD software PTC Creo Parametric IBM Rational Apex Perforce Software Configuration Management System Apache Hadoop MongoDB NoSQL Teradata Database Apache Hive AWS Redshift Data entry software Structured query language SQL Google Analytics C Eclipse IDE Microsoft Visual Basic Verilog Extensible markup language XML IBM InfoSphere DataStage SAP Business Objects Splunk Enterprise Git Waikato Environment for Knowledge Analysis Weka Graphics pipelines Open Graphics Library OpenGL Three-dimensional 3D graphics software ESRI ArcGIS software CA Erwin Data Modeler Microsoft ActiveX Oracle Java Python Scala PostgreSQL Microsoft Office Linux Shell script Ubuntu UNIX Apache HTTP Server Microsoft PowerPoint Microsoft Project Unified modeling language UML Google AdWords Microsoft Excel Video editing software Plug-in file software Django Extensible stylesheet language transformations XSLT JavaScript PHP: Hypertext Preprocessor
Computer and Information Research Scientists,Business intelligence and data analysis software,IBM Cognos Impromptu MicroStrategy Oracle Business Intelligence Enterprise Edition Qlik Tech QlikView Minitab SAS StataCorp Stata The MathWorks MATLAB GitHub IBM Cognos Impromptu MicroStrategy Oracle Business Intelligence Enterprise Edition Qlik Tech QlikView Clustermatic Parallel systems software IBM Domino Greenhills Ada compilers Low-level virtual machine LLVM compilers Polaris parallelizing compilers Computer aided design and drafting CADD software PTC Creo Parametric IBM Rational Apex Perforce Software Configuration Management System Apache Hadoop MongoDB NoSQL Teradata Database Apache Hive AWS Redshift Data entry software Structured query language SQL Google Analytics C Eclipse IDE Microsoft Visual Basic Verilog Extensible markup language XML IBM InfoSphere DataStage SAP Business Objects Splunk Enterprise Git Waikato Environment for Knowledge Analysis Weka Graphics pipelines Open Graphics Library OpenGL Three-dimensional 3D graphics software ESRI ArcGIS software CA Erwin Data Modeler Microsoft ActiveX Oracle Java Python Scala PostgreSQL Microsoft Office Linux Shell script Ubuntu UNIX Apache HTTP Server Microsoft PowerPoint Microsoft Project Unified modeling language UML Google AdWords Microsoft Excel Video editing software Plug-in file software Django Extensible stylesheet language transformations XSLT JavaScript PHP: Hypertext Preprocessor
Computer and Information Research Scientists,Clustering software,Clustermatic Parallel systems software Minitab SAS StataCorp Stata The MathWorks MATLAB GitHub IBM Cognos Impromptu MicroStrategy Oracle Business Intelligence Enterprise Edition Qlik Tech QlikView Clustermatic Parallel systems software IBM Domino Greenhills Ada compilers Low-level virtual machine LLVM compilers Polaris parallelizing compilers Computer aided design and drafting CADD software PTC Creo Parametric IBM Rational Apex Perforce Software Configuration Management System Apache Hadoop MongoDB NoSQL Teradata Database Apache Hive AWS Redshift Data entry software Structured query language SQL Google Analytics C Eclipse IDE Microsoft Visual Basic Verilog Extensible markup language XML IBM InfoSphere DataStage SAP Business Objects Splunk Enterprise Git Waikato Environment for Knowledge Analysis Weka Graphics pipelines Open Graphics Library OpenGL Three-dimensional 3D graphics software ESRI ArcGIS software CA Erwin Data Modeler Microsoft ActiveX Oracle Java Python Scala PostgreSQL Microsoft Office Linux Shell script Ubuntu UNIX Apache HTTP Server Microsoft PowerPoint Microsoft Project Unified modeling language UML Google AdWords Microsoft Excel Video editing software Plug-in file software Django Extensible stylesheet language transformations XSLT JavaScript PHP: Hypertext Preprocessor
Computer and Information Research Scientists,Communications server software,IBM Domino Minitab SAS StataCorp Stata The MathWorks MATLAB GitHub IBM Cognos Impromptu MicroStrategy Oracle Business Intelligence Enterprise Edition Qlik Tech QlikView Clustermatic Parallel systems software IBM Domino Greenhills Ada compilers Low-level virtual machine LLVM compilers Polaris parallelizing compilers Computer aided design and drafting CADD software PTC Creo Parametric IBM Rational Apex Perforce Software Configuration Management System Apache Hadoop MongoDB NoSQL Teradata Database Apache Hive AWS Redshift Data entry software Structured query language SQL Google Analytics C Eclipse IDE Microsoft Visual Basic Verilog Extensible markup language XML IBM InfoSphere DataStage SAP Business Objects Splunk Enterprise Git Waikato Environment for Knowledge Analysis Weka Graphics pipelines Open Graphics Library OpenGL Three-dimensional 3D graphics software ESRI ArcGIS software CA Erwin Data Modeler Microsoft ActiveX Oracle Java Python Scala PostgreSQL Microsoft Office Linux Shell script Ubuntu UNIX Apache HTTP Server Microsoft PowerPoint Microsoft Project Unified modeling language UML Google AdWords Microsoft Excel Video editing software Plug-in file software Django Extensible stylesheet language transformations XSLT JavaScript PHP: Hypertext Preprocessor
Computer and Information Research Scientists,Compiler and decompiler software,Greenhills Ada compilers Low-level virtual machine LLVM compilers Polaris parallelizing compilers Minitab SAS StataCorp Stata The MathWorks MATLAB GitHub IBM Cognos Impromptu MicroStrategy Oracle Business Intelligence Enterprise Edition Qlik Tech QlikView Clustermatic Parallel systems software IBM Domino Greenhills Ada compilers Low-level virtual machine LLVM compilers Polaris parallelizing compilers Computer aided design and drafting CADD software PTC Creo Parametric IBM Rational Apex Perforce Software Configuration Management System Apache Hadoop MongoDB NoSQL Teradata Database Apache Hive AWS Redshift Data entry software Structured query language SQL Google Analytics C Eclipse IDE Microsoft Visual Basic Verilog Extensible markup language XML IBM InfoSphere DataStage SAP Business Objects Splunk Enterprise Git Waikato Environment for Knowledge Analysis Weka Graphics pipelines Open Graphics Library OpenGL Three-dimensional 3D graphics software ESRI ArcGIS software CA Erwin Data Modeler Microsoft ActiveX Oracle Java Python Scala PostgreSQL Microsoft Office Linux Shell script Ubuntu UNIX Apache HTTP Server Microsoft PowerPoint Microsoft Project Unified modeling language UML Google AdWords Microsoft Excel Video editing software Plug-in file software Django Extensible stylesheet language transformations XSLT JavaScript PHP: Hypertext Preprocessor
Computer and Information Research Scientists,Computer aided design CAD software,Computer aided design and drafting CADD software PTC Creo Parametric Minitab SAS StataCorp Stata The MathWorks MATLAB GitHub IBM Cognos Impromptu MicroStrategy Oracle Business Intelligence Enterprise Edition Qlik Tech QlikView Clustermatic Parallel systems software IBM Domino Greenhills Ada compilers Low-level virtual machine LLVM compilers Polaris parallelizing compilers Computer aided design and drafting CADD software PTC Creo Parametric IBM Rational Apex Perforce Software Configuration Management System Apache Hadoop MongoDB NoSQL Teradata Database Apache Hive AWS Redshift Data entry software Structured query language SQL Google Analytics C Eclipse IDE Microsoft Visual Basic Verilog Extensible markup language XML IBM InfoSphere DataStage SAP Business Objects Splunk Enterprise Git Waikato Environment for Knowledge Analysis Weka Graphics pipelines Open Graphics Library OpenGL Three-dimensional 3D graphics software ESRI ArcGIS software CA Erwin Data Modeler Microsoft ActiveX Oracle Java Python Scala PostgreSQL Microsoft Office Linux Shell script Ubuntu UNIX Apache HTTP Server Microsoft PowerPoint Microsoft Project Unified modeling language UML Google AdWords Microsoft Excel Video editing software Plug-in file software Django Extensible stylesheet language transformations XSLT JavaScript PHP: Hypertext Preprocessor
Computer and Information Research Scientists,Configuration management software,IBM Rational Apex Perforce Software Configuration Management System Minitab SAS StataCorp Stata The MathWorks MATLAB GitHub IBM Cognos Impromptu MicroStrategy Oracle Business Intelligence Enterprise Edition Qlik Tech QlikView Clustermatic Parallel systems software IBM Domino Greenhills Ada compilers Low-level virtual machine LLVM compilers Polaris parallelizing compilers Computer aided design and drafting CADD software PTC Creo Parametric IBM Rational Apex Perforce Software Configuration Management System Apache Hadoop MongoDB NoSQL Teradata Database Apache Hive AWS Redshift Data entry software Structured query language SQL Google Analytics C Eclipse IDE Microsoft Visual Basic Verilog Extensible markup language XML IBM InfoSphere DataStage SAP Business Objects Splunk Enterprise Git Waikato Environment for Knowledge Analysis Weka Graphics pipelines Open Graphics Library OpenGL Three-dimensional 3D graphics software ESRI ArcGIS software CA Erwin Data Modeler Microsoft ActiveX Oracle Java Python Scala PostgreSQL Microsoft Office Linux Shell script Ubuntu UNIX Apache HTTP Server Microsoft PowerPoint Microsoft Project Unified modeling language UML Google AdWords Microsoft Excel Video editing software Plug-in file software Django Extensible stylesheet language transformations XSLT JavaScript PHP: Hypertext Preprocessor
Computer and Information Research Scientists,Data base management system software,Apache Hadoop MongoDB NoSQL Teradata Database Minitab SAS StataCorp Stata The MathWorks MATLAB GitHub IBM Cognos Impromptu MicroStrategy Oracle Business Intelligence Enterprise Edition Qlik Tech QlikView Clustermatic Parallel systems software IBM Domino Greenhills Ada compilers Low-level virtual machine LLVM compilers Polaris parallelizing compilers Computer aided design and drafting CADD software PTC Creo Parametric IBM Rational Apex Perforce Software Configuration Management System Apache Hadoop MongoDB NoSQL Teradata Database Apache Hive AWS Redshift Data entry software Structured query language SQL Google Analytics C Eclipse IDE Microsoft Visual Basic Verilog Extensible markup language XML IBM InfoSphere DataStage SAP Business Objects Splunk Enterprise Git Waikato Environment for Knowledge Analysis Weka Graphics pipelines Open Graphics Library OpenGL Three-dimensional 3D graphics software ESRI ArcGIS software CA Erwin Data Modeler Microsoft ActiveX Oracle Java Python Scala PostgreSQL Microsoft Office Linux Shell script Ubuntu UNIX Apache HTTP Server Microsoft PowerPoint Microsoft Project Unified modeling language UML Google AdWords Microsoft Excel Video editing software Plug-in file software Django Extensible stylesheet language transformations XSLT JavaScript PHP: Hypertext Preprocessor
Computer and Information Research Scientists,Data base user interface and query software,Apache Hive AWS Redshift Data entry software Structured query language SQL Minitab SAS StataCorp Stata The MathWorks MATLAB GitHub IBM Cognos Impromptu MicroStrategy Oracle Business Intelligence Enterprise Edition Qlik Tech QlikView Clustermatic Parallel systems software IBM Domino Greenhills Ada compilers Low-level virtual machine LLVM compilers Polaris parallelizing compilers Computer aided design and drafting CADD software PTC Creo Parametric IBM Rational Apex Perforce Software Configuration Management System Apache Hadoop MongoDB NoSQL Teradata Database Apache Hive AWS Redshift Data entry software Structured query language SQL Google Analytics C Eclipse IDE Microsoft Visual Basic Verilog Extensible markup language XML IBM InfoSphere DataStage SAP Business Objects Splunk Enterprise Git Waikato Environment for Knowledge Analysis Weka Graphics pipelines Open Graphics Library OpenGL Three-dimensional 3D graphics software ESRI ArcGIS software CA Erwin Data Modeler Microsoft ActiveX Oracle Java Python Scala PostgreSQL Microsoft Office Linux Shell script Ubuntu UNIX Apache HTTP Server Microsoft PowerPoint Microsoft Project Unified modeling language UML Google AdWords Microsoft Excel Video editing software Plug-in file software Django Extensible stylesheet language transformations XSLT JavaScript PHP: Hypertext Preprocessor
